J.C. McNatt 2014 Wave Field Experiments,,,,,,,,,
Performed in the University of Edinburgh Curved Wave Tank,,,,,,,,,
Copyright 2014 by J. Cameron McNatt,,,,,,,,,
License under the Creative Commons,,,,,,,,,
Wave Gauge Locations,,,,,,,,,
,WG setup 1,,,,WG setup 2,,,,Notes
s2-4,0.8,-2.3562,-0.5657,-0.5657,1.2,-2.3562,-0.8485,-0.8485,
s2-5,1,-2.3562,-0.7071,-0.7071,1.4,-2.3562,-0.9899,-0.9899,
s2-6,1.2,-2.3562,-0.8485,-0.8485,1.6,-2.3562,-1.1314,-1.1314,
s2-7,1.4,-2.3562,-0.9899,-0.9899,1.8,-2.3562,-1.2728,-1.2728,
s2-8,1.6,-2.3562,-1.1314,-1.1314,2,-2.3562,-1.4142,-1.4142,
s3-1,0.2,-1.5708,0,-0.2,0.6,-1.5708,0,-0.6,
s3-2,0.4,-1.5708,0,-0.4,0.8,-1.5708,0,-0.8,
s3-3,0.6,-1.5708,0,-0.6,1,-1.5708,0,-1,
s3-4,0.8,-1.5708,0,-0.8,1.2,-1.5708,0,-1.2,
s3-5,1,-1.5708,0,-1,1.4,-1.5708,0,-1.4,
s3-6,1.2,-1.5708,0,-1.2,1.6,-1.5708,0,-1.6,
s3-7,1.4,-1.5708,0,-1.4,1.8,-1.5708,0,-1.8,
s3-8,1.6,-1.5708,0,-1.6,2,-1.5708,0,-2,
s4-1,0.2,-0.7854,0.1414,-0.1414,0.6,-0.7854,0.4243,-0.4243,
s4-2,0.4,-0.7854,0.2828,-0.2828,0.8,-0.7854,0.5657,-0.5657,
s4-3,0.6,-0.7854,0.4243,-0.4243,1,-0.7854,0.7071,-0.7071,
s4-4,0.8,-0.7854,0.5657,-0.5657,1.2,-0.7854,0.8485,-0.8485,
s4-5,1,-0.7854,0.7071,-0.7071,1.4,-0.7854,0.9899,-0.9899,
s4-6,1.2,-0.7854,0.8485,-0.8485,1.6,-0.7854,1.1314,-1.1314,
s4-7,1.4,-0.7854,0.9899,-0.9899,1.8,-0.7854,1.2728,-1.2728,
s4-8,1.6,-0.7854,1.1314,-1.1314,2,-0.7854,1.4142,-1.4142,
s5-1,0.2,0,0.2,0,0.6,0,0.6,0,
s5-2,0.4,0,0.4,0,0.8,0,0.8,0,
s5-3,0.6,0,0.6,0,1,0,1,0,
s5-4,0.8,0,0.8,0,1.2,0,1.2,0,
s5-5,1,0,1,0,1.4,0,1.4,0,
s5-6,1.2,0,1.2,0,1.6,0,1.6,0,
s5-7,1.4,0,1.4,0,1.8,0,1.8,0,
s5-8,1.6,0,1.6,0,2,0,2,0,
s0,0,0,0,0,,,,,only present in Setup 1
f1,0,0,0,0,,,,,these are practice wave gauges for flume runs
f2,0.2,0,0.2,0,,,,,
f3,0.4,0,0.4,0,,,,,
f4,0.6,0,0.6,0,,,,,
f5,0.8,0,0.8,0,,,,,
f6,1,0,1,0,,,,,
f7,1.2,0,1.2,0,,,,,
f8,1.4,0,1.4,0,,,,,
